engagement_score,billing_risk_score,churn_risk_segment_Low Risk,numTechTickets,high_value_churn_flag,tenure,ticket_intensity,Contract_Two year,revenue_efficiency,customer_lifetime_value,MonthlyCharges,TotalCharges,InternetService_Fiber optic,support_frustration_score,PaymentMethod_Electronic check,avg_monthly_spend,tenure_group_New,tenure_group_VIP,InternetService_No,PaperlessBilling
22.5,5,False,0,0,35,0.1388888888888889,False,430.5,1722.0,49.2,1701.65,False,5,True,47.268055555555556,False,False,False,0
9.5,3,False,0,0,15,0.25,False,375.5,1126.5,75.1,1151.55,True,4,False,71.971875,False,False,False,0
21.5,0,True,0,0,13,0.0,True,131.7875,527.15,40.55,590.35,False,0,False,42.167857142857144,False,False,False,0
38.0,1,True,0,0,26,0.0,True,318.5,1911.0,73.5,1905.7,False,0,False,70.58148148148149,False,False,False,1
5.5,5,False,0,0,1,0.0,False,22.275,44.55,44.55,44.55,False,0,True,22.275,True,False,False,0
63.0,1,True,0,0,66,0.0,True,749.5714285714286,5247.0,79.5,5196.1,False,0,False,77.55373134328359,False,True,False,1
5.5,3,True,0,0,1,0.0,False,9.9,19.8,19.8,19.8,False,0,False,9.9,True,False,True,0
30.0,3,True,0,0,40,0.0,False,754.6666666666666,2264.0,56.6,2379.1,False,0,False,58.02682926829268,False,False,False,0
35.5,1,False,3,0,65,0.045454545454545456,True,971.75,3887.0,59.8,3808.2,False,6,False,57.699999999999996,False,True,False,1
55.0,0,True,0,0,60,0.0,False,805.5,4833.0,80.55,4847.05,False,0,False,79.45983606557377,False,True,False,0
20.5,3,False,0,0,5,0.16666666666666666,False,59.9,299.5,59.9,287.85,False,1,False,47.975,True,False,False,0
12.5,4,False,0,0,5,0.0,False,82.33333333333333,247.0,49.4,232.55,False,0,False,38.75833333333333,True,False,False,1
11.0,3,True,0,0,2,0.0,False,33.96666666666667,101.9,50.95,123.05,False,0,False,41.016666666666666,True,False,False,0
36.0,5,False,0,0,30,0.06451612903225806,False,338.0,2028.0,67.6,2000.2,False,2,True,64.5225806451613,False,False,False,0
33.0,6,False,0,0,36,0.0,False,858.6,3434.4,95.4,3474.2,True,0,True,93.89729729729729,False,False,False,1
20.5,1,False,3,0,55,0.05357142857142857,True,1898.875,3797.75,69.05,3842.6,True,6,False,68.61785714285715,False,False,False,1
30.5,4,False,0,0,31,0.0,False,656.8125,2627.25,84.75,2613.4,True,0,False,81.66875,False,False,False,1
19.0,6,False,0,0,28,0.0,False,502.6,1005.2,35.9,973.65,False,0,True,33.574137931034485,False,False,False,1
13.0,0,True,0,0,16,0.0,True,151.6,303.2,18.95,326.8,False,0,False,19.223529411764705,False,False,True,0
8.0,3,True,0,0,6,0.0,False,60.45,120.9,20.15,130.5,False,0,False,18.642857142857142,True,False,True,0
28.5,3,True,0,0,27,0.0,False,579.825,2319.3,85.9,2220.1,True,0,True,79.28928571428571,False,False,False,1
34.0,1,True,0,0,58,0.0,True,733.7,1467.4,25.3,1474.35,False,0,False,24.988983050847455,False,False,True,1
56.0,1,False,0,0,72,0.0684931506849315,True,1078.9714285714285,7552.8,104.9,7732.65,True,5,False,105.92671232876712,False,True,False,1
24.0,4,False,0,0,28,0.0,False,333.6666666666667,1001.0,35.75,961.4,False,0,False,33.15172413793103,False,False,False,1
29.0,3,False,0,0,40,0.07317073170731707,False,850.5,3402.0,85.05,3355.65,True,3,True,81.84512195121951,False,False,False,1
5.5,3,True,0,0,1,0.0,False,10.25,20.5,20.5,20.5,False,0,False,10.25,True,False,True,0
12.5,6,False,0,0,5,0.0,False,133.33333333333334,400.0,80.0,412.5,True,0,True,68.75,True,False,False,1
-4.5,6,False,0,0,1,2.5,False,34.6,69.2,69.2,69.2,True,5,True,34.6,True,False,False,1
31.0,6,False,0,0,12,0.0,False,210.6,1263.6,105.3,1275.65,True,0,True,98.12692307692308,False,False,False,1
22.5,6,False,0,0,5,0.0,False,96.1,480.5,96.1,453.4,True,0,True,75.56666666666666,True,False,False,1
70.5,1,True,0,0,71,0.0,True,764.1374999999999,6113.099999999999,86.1,6045.9,False,0,False,83.97083333333333,False,True,False,1
0.5,6,False,0,0,3,0.75,False,115.425,230.85,76.95,228.4,True,3,True,57.1,True,False,False,1
10.0,3,False,0,0,30,0.16129032258064516,False,294.75,589.5,19.65,655.85,False,5,False,21.156451612903226,False,False,True,0
17.5,1,True,0,0,25,0.0,False,252.5,505.0,20.2,507.9,False,0,False,19.534615384615385,False,False,True,1
31.0,0,True,0,0,52,0.0,True,638.3,1276.6,24.55,1331.05,False,0,False,25.114150943396226,False,False,True,0
37.0,3,False,4,1,46,0.0851063829787234,False,722.8571428571429,5060.0,110.0,4874.8,True,8,True,103.71914893617021,False,False,False,1
9.5,6,False,0,0,9,0.0,False,317.25,634.5,70.5,597.9,True,0,True,59.79,True,False,False,1
17.5,6,False,0,0,19,0.05,False,550.0500000000001,1650.15,86.85,1564.4,True,1,True,78.22,False,False,False,1
16.0,6,False,0,0,12,0.0,False,197.6,592.8,49.4,611.65,False,0,True,47.05,False,False,False,1
47.5,1,True,0,0,45,0.0,False,740.25,4441.5,98.7,4525.8,True,0,False,98.38695652173914,False,False,False,1
39.0,4,False,1,0,36,0.02702702702702703,False,627.0,3762.0,104.5,3684.95,True,2,False,99.59324324324324,False,False,False,1
39.0,4,False,0,0,38,0.0,False,722.76,3613.8,95.1,3691.2,True,0,False,94.64615384615384,False,False,False,1
-4.5,3,False,0,0,1,2.5,False,9.6,19.2,19.2,19.2,False,5,False,9.6,True,False,True,0
13.0,6,False,3,0,10,0.2727272727272727,False,197.0,985.0,98.5,1037.75,True,6,True,94.3409090909091,True,False,False,1
11.5,3,True,0,0,13,0.0,False,291.2,582.4,44.8,559.2,False,0,False,39.94285714285714,False,False,False,0
20.0,1,False,1,0,18,0.3157894736842105,False,246.0,1476.0,82.0,1425.45,False,7,False,75.02368421052631,False,False,False,1
33.5,2,True,0,0,37,0.0,True,419.95,1679.8,45.4,1593.1,False,0,True,41.92368421052631,False,False,False,0
7.5,3,True,0,0,5,0.0,False,50.875,101.75,20.35,122.0,False,0,False,20.333333333333332,True,False,True,0
15.5,5,False,0,0,11,0.0,False,274.81666666666666,824.45,74.95,815.5,True,0,True,67.95833333333333,True,False,False,0
57.0,4,False,0,0,64,0.0,False,1057.6000000000001,6345.6,99.15,6171.2,True,0,False,94.94153846153846,False,True,False,1
10.5,3,True,0,0,1,0.0,False,18.516666666666666,55.55,55.55,55.55,False,0,False,27.775,True,False,False,0
13.5,6,False,5,1,37,0.13157894736842105,False,855.625,3422.5,92.5,3473.4,True,10,True,91.40526315789474,False,False,False,1
45.0,4,False,0,0,48,0.04081632653061224,False,842.0,5052.0,105.25,4997.5,True,2,False,101.98979591836735,False,False,False,1
17.0,6,False,2,0,20,0.09523809523809523,False,472.75,1891.0,94.55,1899.65,True,4,True,90.45952380952382,False,False,False,1
33.0,4,False,0,0,26,0.0,False,361.4,1807.0,69.5,1800.05,False,0,False,66.66851851851851,False,False,False,1
20.0,0,True,0,0,30,0.0,True,291.0,582.0,19.4,578.5,False,0,False,18.661290322580644,False,False,True,0
54.5,1,True,0,0,69,0.0,True,923.22,4616.1,66.9,4577.9,False,0,False,65.39857142857143,False,True,False,1
66.5,1,True,0,0,63,0.0,True,704.0250000000001,5632.200000000001,89.4,5597.65,False,0,False,87.46328125,False,True,False,1
7.5,3,True,0,0,5,0.0,False,48.375,96.75,19.35,126.05,False,0,False,21.008333333333333,True,False,True,0
24.5,1,True,0,0,39,0.0,True,398.775,797.55,20.45,790.0,False,0,False,19.75,False,False,True,1
22.0,6,False,0,0,4,0.0,False,81.36,406.8,101.7,364.55,True,0,True,72.91,True,False,False,1
50.0,0,True,0,0,60,0.0,True,1213.8,6069.0,101.15,6067.4,True,0,False,99.4655737704918,False,True,False,0
34.5,5,False,0,0,19,0.0,False,327.1166666666667,1962.7,103.3,2012.7,True,0,True,100.635,False,False,False,0
21.5,6,False,1,0,11,0.08333333333333333,False,224.4,1122.0,102.0,1145.35,True,2,True,95.44583333333333,True,False,False,1
31.5,6,False,1,1,31,0.03125,False,619.69,3098.4500000000003,99.95,3186.65,True,2,True,99.5828125,False,False,False,1
35.0,4,False,0,0,30,0.0,False,505.8,2529.0,84.3,2438.6,True,0,False,78.66451612903225,False,False,False,1
31.5,0,True,0,0,53,0.0,True,651.9000000000001,1303.8000000000002,24.6,1279.0,False,0,False,23.685185185185187,False,False,True,0
22.5,6,False,0,0,5,0.0,False,89.35,446.75,89.35,461.7,True,0,True,76.95,True,False,False,1
35.5,1,True,0,0,51,0.0,False,1353.2,4059.6,79.6,3974.7,True,0,False,76.43653846153846,False,False,False,1
60.5,0,False,0,0,71,0.06944444444444445,True,792.5375,6340.3,89.3,6388.65,False,5,False,88.73124999999999,False,True,False,0
35.5,1,True,0,0,61,0.0,True,762.5,1525.0,25.0,1498.35,False,0,False,24.166935483870965,False,True,True,1
14.0,6,False,0,0,8,0.0,False,198.66666666666666,596.0,74.5,606.55,True,0,True,67.39444444444445,True,False,False,1
12.0,4,False,0,0,10,0.36363636363636365,False,137.375,549.5,54.95,568.85,False,4,False,51.71363636363637,True,False,False,1
21.0,4,False,0,0,12,0.0,False,149.55,598.2,49.85,617.15,False,0,False,47.473076923076924,False,False,False,1
42.0,5,False,0,0,66,0.04477611940298507,False,1053.525,4214.1,63.85,4264.6,False,3,True,63.650746268656725,False,True,False,0
28.0,3,False,1,0,24,0.04,False,290.16,1450.8000000000002,60.45,1440.75,False,2,False,57.63,False,False,False,0
17.0,3,True,0,0,4,0.0,False,56.5,226.0,56.5,235.1,False,0,False,47.019999999999996,True,False,False,0
17.0,6,False,0,0,4,0.0,False,88.95,355.8,88.95,355.2,True,0,True,71.03999999999999,True,False,False,1
32.5,0,True,0,0,35,0.0,False,486.5,1946.0,55.6,2016.45,False,0,False,56.0125,False,False,False,0
42.5,4,False,0,0,45,0.0,False,771.3,3856.5,85.7,3778.1,True,0,False,82.13260869565217,False,False,False,1
62.5,1,True,0,0,65,0.0,False,1021.4285714285714,7150.0,110.0,7138.65,True,0,False,108.16136363636363,False,True,False,1
17.0,4,False,0,0,14,0.0,False,377.5333333333333,1132.6,80.9,1152.8,True,0,False,76.85333333333332,False,False,False,1
50.5,1,True,0,0,61,0.0,False,618.5400000000001,3092.7000000000003,50.7,3088.75,False,0,False,49.818548387096776,False,True,False,1
47.0,0,True,0,0,68,0.014492753623188406,True,1365.9499999999998,5463.799999999999,80.35,5375.15,True,1,False,77.90072463768115,False,True,False,0
31.5,1,True,0,0,23,0.0,False,265.65,1328.25,57.75,1282.85,False,0,False,53.45208333333333,False,False,False,1
42.5,6,False,0,0,55,0.0,False,1121.3125,4485.25,81.55,4509.5,True,0,True,80.52678571428571,False,False,False,1
39.5,0,True,0,0,69,0.0,True,843.525,1687.05,24.45,1718.2,False,0,False,24.545714285714286,False,True,True,0
33.5,3,True,0,0,7,0.0,False,81.25,568.75,81.25,580.1,False,0,False,72.5125,True,False,False,0
46.0,0,True,0,0,72,0.0,True,1897.1999999999998,5691.599999999999,79.05,5730.7,True,0,False,78.5027397260274,False,True,False,0
40.5,1,True,0,0,61,0.0,False,1010.5666666666667,3031.7000000000003,49.7,2961.4,False,0,False,47.76451612903226,False,True,False,1
47.0,0,True,0,0,64,0.0,False,1284.8,5139.2,80.3,5017.7,True,0,False,77.19538461538461,False,True,False,0
