customerID,gender,SeniorCitizen,Partner,Dependents,tenure,customer_lifetime_value,revenue_tier,engagement_score
7590-VHVEG,Female,0,Yes,No,1,29.85,Bronze,5.5
5575-GNVDE,Male,0,No,No,34,1936.3000000000002,Silver,32.0
3668-QPYBK,Male,0,No,No,2,107.7,Bronze,16.0
7795-CFOCW,Male,0,No,No,45,1903.4999999999998,Silver,25.5
9237-HQITU,Female,0,No,No,2,141.4,Bronze,6.0
9305-CDSKC,Female,0,No,No,8,797.2,Bronze,24.0
1452-KIOVK,Male,0,No,Yes,22,1960.1999999999998,Silver,26.0
6713-OKOMC,Female,0,No,No,10,297.5,Bronze,10.0
7892-POOKP,Female,0,Yes,No,28,2934.4,Silver,31.0
6388-TABGU,Male,0,No,Yes,62,3481.2999999999997,Gold,46.0
9763-GRSKD,Male,0,Yes,Yes,13,649.35,Bronze,14.5
7469-LKBCI,Male,0,No,No,16,303.2,Bronze,13.0
8091-TTVAX,Male,0,Yes,No,58,5820.299999999999,Gold,49.0
0280-XJGEX,Male,0,No,No,49,5081.3,Gold,23.5
5129-JLPIS,Male,0,No,No,25,2637.5,Silver,42.5
3655-SNQYZ,Female,0,Yes,Yes,69,7814.25,Gold,69.5
8191-XWSZG,Female,0,No,No,52,1073.8,Silver,31.0
9959-WOFKT,Male,0,No,Yes,71,7575.7,Gold,44.5
4190-MFLUW,Female,0,Yes,Yes,10,552.0,Bronze,20.0
4183-MYFRB,Female,0,No,No,21,1891.05,Silver,30.5
8779-QRDMV,Male,1,No,No,1,39.65,Bronze,10.5
1680-VDCWW,Male,0,Yes,No,12,237.60000000000002,Bronze,7.0
1066-JKSGK,Male,0,No,No,1,20.15,Bronze,-2.5
3638-WEABW,Female,0,Yes,No,58,3474.2,Gold,42.0
6322-HRPFA,Male,0,Yes,Yes,49,2920.4,Silver,32.5
6865-JZNKO,Female,0,No,No,30,1659.0,Silver,30.0
6467-CHFZW,Male,0,Yes,Yes,47,4669.45,Gold,27.5
8665-UTDHZ,Male,0,Yes,Yes,1,30.2,Bronze,5.5
5248-YGIJN,Male,0,Yes,No,72,6498.0,Gold,69.0
8773-HHUOZ,Female,0,No,Yes,17,1099.9,Silver,23.5
3841-NFECX,Female,1,Yes,No,71,6840.849999999999,Gold,60.5
4929-XIHVW,Male,1,Yes,No,2,191.0,Bronze,21.0
6827-IEAUQ,Female,0,Yes,Yes,27,1786.0500000000002,Silver,38.5
7310-EGVHZ,Male,0,No,No,1,20.2,Bronze,5.5
3413-BMNZE,Male,1,No,No,1,45.25,Bronze,5.5
6234-RAAPL,Female,0,Yes,Yes,72,7192.8,Gold,61.0
6047-YHPVI,Male,0,No,No,5,348.5,Bronze,7.5
6572-ADKRS,Female,0,No,No,46,3440.7999999999997,Gold,27.0
5380-WJKOV,Male,0,No,No,34,3615.8999999999996,Gold,26.0
8168-UQWWF,Female,0,No,No,11,1076.35,Silver,17.5
8865-TNMNX,Male,0,Yes,Yes,10,495.5,Bronze,5.0
9489-DEDVP,Female,0,Yes,Yes,70,4844.0,Gold,55.0
9867-JCZSP,Female,0,Yes,Yes,17,352.75,Bronze,13.5
4671-VJLCL,Female,0,No,No,63,5030.549999999999,Gold,61.5
4080-IIARD,Female,0,Yes,No,13,990.6,Bronze,23.5
3714-NTNFO,Female,0,No,No,49,4140.5,Gold,22.5
5948-UJZLF,Male,0,No,No,2,98.5,Bronze,11.0
7760-OYPDY,Female,0,No,No,2,161.3,Bronze,11.0
7639-LIAYI,Male,0,No,No,52,4147.0,Gold,49.0
2954-PIBKO,Female,0,Yes,Yes,69,4426.35,Gold,54.5
8012-SOUDQ,Female,1,No,No,43,3880.75,Gold,36.5
9420-LOJKX,Female,0,No,No,15,1486.5,Silver,28.5
6575-SUVOI,Female,1,Yes,No,25,1737.5,Silver,24.5
7495-OOKFY,Female,1,Yes,No,8,645.2,Bronze,14.0
4667-QONEA,Female,1,Yes,Yes,60,4491.0,Gold,60.0
1658-BYGOY,Male,1,No,No,18,1718.1000000000001,Silver,20.0
8769-KKTPH,Female,0,Yes,Yes,63,6277.950000000001,Gold,51.5
