engagement_score,billing_risk_score,churn_risk_segment_Low Risk,numTechTickets,high_value_churn_flag,tenure,ticket_intensity,Contract_Two year,revenue_efficiency,customer_lifetime_value,MonthlyCharges,TotalCharges,InternetService_Fiber optic,support_frustration_score,PaymentMethod_Electronic check,avg_monthly_spend,tenure_group_New,tenure_group_VIP,InternetService_No,PaperlessBilling,Churn
5.5,6,False,0,0,1,0.0,False,14.925,29.85,29.85,29.85,False,0,True,14.925,True,False,False,1,0
32.0,0,True,0,0,34,0.0,False,484.075,1936.3,56.95,1889.5,False,0,False,53.98571428571429,False,False,False,0,0
16.0,4,False,0,0,2,0.0,False,26.925,107.7,53.85,108.15,False,0,False,36.050000000000004,True,False,False,1,1
25.5,0,False,3,0,45,0.06521739130434782,False,475.875,1903.5,42.3,1840.75,False,6,False,40.016304347826086,False,False,False,0,0
6.0,6,False,0,0,2,0.0,False,70.7,141.4,70.7,151.65,True,0,True,50.550000000000004,True,False,False,1,1
24.0,6,False,0,0,8,0.0,False,159.44,797.2,99.65,820.5,True,0,True,91.16666666666667,True,False,False,1,1
26.0,4,False,0,0,22,0.0,False,490.05,1960.2,89.1,1949.4,True,0,False,84.75652173913043,False,False,False,1,0
10.0,3,True,0,0,10,0.0,False,148.75,297.5,29.75,301.9,False,0,False,27.44545454545454,True,False,False,0,0
31.0,6,False,2,0,28,0.06896551724137931,False,489.06666666666666,2934.4,104.8,3046.05,True,4,True,105.03620689655173,False,False,False,1,1
46.0,0,True,0,0,62,0.0,False,870.325,3481.3,56.15,3487.95,False,0,False,55.364285714285714,False,True,False,0,0
14.5,4,False,0,0,13,0.07142857142857142,False,216.45000000000002,649.35,49.95,587.45,False,1,False,41.96071428571429,False,False,False,1,0
13.0,0,True,0,0,16,0.0,True,151.6,303.2,18.95,326.8,False,0,False,19.223529411764705,False,False,True,0,0
49.0,0,True,0,0,58,0.0,False,1164.06,5820.299999999999,100.35,5681.1,True,0,False,96.28983050847458,False,False,False,0,0
23.5,4,False,4,1,49,0.18,False,846.8833333333333,5081.3,103.7,5036.3,True,13,False,100.726,False,False,False,1,1
42.5,6,False,0,0,25,0.0,False,376.7857142857143,2637.5,105.5,2686.05,True,0,True,103.3096153846154,False,False,False,1,0
69.5,0,True,0,0,69,0.0,True,976.78125,7814.25,113.25,7895.15,True,0,False,112.78785714285713,False,True,False,0,0
31.0,0,True,0,0,52,0.0,False,536.9,1073.8,20.65,1022.95,False,0,False,19.300943396226415,False,False,True,0,0
44.5,0,False,4,0,71,0.05555555555555555,True,1262.6166666666666,7575.7,106.7,7382.25,True,8,False,102.53125,False,True,False,0,0
20.0,3,True,0,0,10,0.0,False,138.0,552.0,55.2,528.35,False,0,False,48.03181818181818,True,False,False,0,1
30.5,6,False,0,0,21,0.0,False,378.21,1891.05,90.05,1862.9,True,0,True,84.67727272727274,False,False,False,1,0
10.5,6,False,0,0,1,0.0,False,13.216666666666667,39.65,39.65,39.65,False,0,True,19.825,True,False,False,1,1
7.0,0,True,0,0,12,0.15384615384615385,False,118.8,237.6,19.8,202.25,False,2,False,15.557692307692308,False,False,True,0,0
-2.5,3,False,0,0,1,2.0,False,10.075,20.15,20.15,20.15,False,4,False,10.075,True,False,True,0,1
42.0,1,True,0,0,58,0.01694915254237288,True,868.55,3474.2,59.9,3505.1,False,1,False,59.40847457627118,False,False,False,1,0
32.5,3,False,3,0,49,0.06,False,584.08,2920.4,59.6,2970.3,False,6,False,59.406000000000006,False,False,False,0,0
30.0,4,False,0,0,30,0.0,False,414.75,1659.0,55.3,1530.6,False,0,False,49.37419354838709,False,False,False,1,0
27.5,6,False,4,1,47,0.08333333333333333,False,933.89,4669.45,99.35,4749.15,True,8,True,98.940625,False,False,False,1,1
5.5,5,False,0,0,1,0.0,False,15.1,30.2,30.2,30.2,False,0,True,15.1,True,False,False,0,1
69.0,1,True,0,0,72,0.0136986301369863,True,812.25,6498.0,90.25,6369.45,False,1,False,87.2527397260274,False,True,False,1,0
23.5,4,False,0,0,17,0.0,False,274.975,1099.9,64.7,1093.1,False,0,False,60.727777777777774,False,False,False,1,1
60.5,1,True,0,0,71,0.0,True,1140.1416666666667,6840.849999999999,96.35,6766.95,True,0,False,93.98541666666667,False,True,False,1,0
21.0,4,False,0,0,2,0.0,False,38.2,191.0,95.5,181.65,True,0,False,60.550000000000004,True,False,False,1,0
38.5,0,True,0,0,27,0.0,False,297.675,1786.0500000000002,66.15,1874.45,False,0,False,66.94464285714285,False,False,False,0,0
5.5,3,True,0,0,1,0.0,False,10.1,20.2,20.2,20.2,False,0,False,10.1,True,False,True,0,0
5.5,3,True,0,0,1,0.0,False,22.625,45.25,45.25,45.25,False,0,False,22.625,True,False,False,0,0
61.0,0,True,0,0,72,0.0,True,1198.8,7192.8,99.9,7251.7,True,0,False,99.33835616438355,False,True,False,0,0
7.5,6,False,0,0,5,0.0,False,174.25,348.5,69.7,316.9,True,0,True,52.81666666666666,True,False,False,1,1
27.0,4,False,0,0,46,0.06382978723404255,False,1146.9333333333334,3440.8,74.8,3548.3,True,3,False,75.49574468085106,False,False,False,1,0
26.0,6,False,4,1,34,0.11428571428571428,False,602.65,3615.9,106.35,3549.25,True,8,True,101.40714285714286,False,False,False,1,1
17.5,4,False,2,0,11,0.16666666666666666,False,215.26999999999998,1076.35,97.85,1105.4,True,4,False,92.11666666666667,True,False,False,1,1
5.0,0,False,0,0,10,0.45454545454545453,False,165.16666666666666,495.5,49.55,475.7,False,5,False,43.24545454545454,True,False,False,0,0
55.0,1,True,0,0,70,0.0,True,968.8,4844.0,69.2,4872.35,False,0,False,68.62464788732395,False,True,False,1,0
13.5,0,True,0,0,17,0.0,False,176.375,352.75,20.75,418.25,False,0,False,23.23611111111111,False,False,True,0,0
61.5,1,True,0,0,63,0.0,True,718.6499999999999,5030.549999999999,79.85,4861.45,False,0,False,75.96015625,False,True,False,1,0
23.5,6,False,0,0,13,0.2857142857142857,False,165.1,990.6,76.2,981.45,False,4,True,70.10357142857143,False,False,False,1,0
22.5,6,False,3,0,49,0.06,False,1380.1666666666667,4140.5,84.5,3906.7,True,6,True,78.134,False,False,False,1,0
11.0,3,True,0,0,2,0.0,False,32.833333333333336,98.5,49.25,97.0,False,0,False,32.333333333333336,True,False,False,0,0
11.0,6,False,0,0,2,0.0,False,53.76666666666667,161.3,80.65,144.15,True,0,True,48.050000000000004,True,False,False,1,1
49.0,1,True,0,0,52,0.018867924528301886,True,691.1666666666666,4147.0,79.75,4217.8,False,1,False,79.5811320754717,False,False,False,1,0
54.5,1,True,0,0,69,0.0,True,885.2700000000001,4426.35,64.15,4254.1,False,0,False,60.77285714285715,False,True,False,1,0
36.5,6,False,0,0,43,0.0,False,970.1875,3880.75,90.25,3838.75,True,0,True,87.24431818181819,False,False,False,1,0
28.5,4,False,1,0,15,0.0625,False,247.75,1486.5,99.1,1426.4,True,2,False,89.15,False,False,False,1,1
24.5,4,False,0,0,25,0.15384615384615385,False,347.5,1737.5,69.5,1752.65,False,4,False,67.40961538461539,False,False,False,1,0
14.0,4,False,0,0,8,0.0,False,215.0666666666667,645.2,80.65,633.3,True,0,False,70.36666666666666,True,False,False,1,1
60.0,1,True,0,0,60,0.0,False,641.5714285714286,4491.0,74.85,4456.35,False,0,False,73.05491803278689,False,True,False,1,0
20.0,6,False,1,0,18,0.05263157894736842,False,429.525,1718.1,95.45,1752.55,True,2,True,92.23947368421052,False,False,False,1,1
51.5,1,True,0,0,63,0.0,False,1255.5900000000001,6277.950000000001,99.65,6311.2,True,0,False,98.6125,False,True,False,1,0
57.0,3,False,0,0,66,0.04477611940298507,False,1022.5285714285714,7157.7,108.45,7076.35,True,3,True,105.61716417910448,False,True,False,1,0
22.0,0,True,0,0,34,0.0,True,424.15,848.3,24.95,894.3,False,0,False,25.55142857142857,False,False,True,0,0
61.0,1,True,0,0,72,0.0,True,1290.0,7740.0,107.5,7853.7,True,0,False,107.58493150684932,False,True,False,1,0
43.5,6,False,0,0,47,0.0,False,944.7,4723.5,100.5,4707.1,True,0,True,98.06458333333335,False,False,False,1,0
45.0,4,False,0,0,60,0.0,False,1348.5,5394.0,89.9,5450.7,True,0,False,89.35573770491803,False,True,False,1,0
51.0,0,True,0,0,72,0.0,True,757.8000000000001,3031.2000000000003,42.1,2962.0,False,0,False,40.57534246575342,False,True,False,0,0
24.0,1,True,0,0,18,0.0,False,244.8,979.2,54.4,957.1,False,0,False,50.373684210526314,False,False,False,1,0
19.5,5,False,0,0,9,0.0,False,212.4,849.6,94.4,857.25,True,0,True,85.725,True,False,False,0,1
26.5,6,False,0,0,3,0.0,False,37.65,225.9,75.3,244.1,False,0,True,61.025,True,False,False,1,0
21.5,3,False,3,0,47,0.0625,False,1236.1000000000001,3708.3,78.9,3650.35,True,6,True,76.04895833333333,False,False,False,1,0
39.5,0,True,0,0,31,0.09375,True,350.7428571428572,2455.2000000000003,79.2,2497.2,False,3,False,78.0375,False,False,False,0,0
30.0,0,True,0,0,50,0.0,True,503.75,1007.5,20.15,930.9,False,0,False,18.25294117647059,False,False,True,0,0
20.0,4,False,0,0,10,0.0,False,199.625,798.5,79.85,887.35,True,0,False,80.66818181818182,True,False,False,1,0
10.5,3,True,0,0,1,0.0,False,16.349999999999998,49.05,49.05,49.05,False,0,False,24.525,True,False,False,0,0
31.0,3,True,0,0,52,0.0,False,530.4,1060.8,20.4,1090.65,False,0,True,20.578301886792456,False,False,True,1,0
62.0,1,True,0,0,64,0.0,True,1020.342857142857,7142.4,111.6,7099.0,True,0,False,109.21538461538462,False,True,False,1,0
36.0,1,True,0,0,62,0.0,True,751.75,1503.5,24.25,1424.6,False,0,False,22.61269841269841,False,True,True,1,0
21.5,4,False,0,0,3,0.0,False,38.7,193.5,64.5,177.4,False,0,False,44.35,True,False,False,1,0
58.0,2,True,0,0,56,0.0,False,884.0,6188.0,110.5,6139.5,True,0,True,107.71052631578948,False,False,False,0,0
31.0,0,True,0,0,46,0.02127659574468085,False,853.3000000000001,2559.9,55.65,2688.85,False,1,False,57.2095744680851,False,False,False,0,0
19.0,3,True,0,0,8,0.0,False,109.3,437.2,54.65,482.25,False,0,False,53.583333333333336,True,False,False,0,0
40.0,6,False,0,0,30,0.0,False,373.75,2242.5,74.75,2111.3,False,0,True,68.10645161290323,False,False,False,1,0
27.5,1,True,0,0,45,0.0,False,582.75,1165.5,25.9,1216.6,False,0,False,26.44782608695652,False,False,True,1,0
6.5,6,False,0,0,1,1.0,False,26.45,79.35,79.35,79.35,True,2,True,39.675,True,False,False,1,1
20.5,5,False,0,0,11,0.0,False,139.0125,556.05,50.55,565.35,False,0,True,47.112500000000004,True,False,False,0,0
3.5,4,False,0,0,7,0.625,False,175.35000000000002,526.0500000000001,75.15,496.9,True,5,False,62.1125,True,False,False,1,1
51.0,4,False,0,0,42,0.0,False,622.8,4359.599999999999,103.8,4327.5,True,0,False,100.63953488372093,False,False,False,1,0
29.5,1,True,0,0,49,0.0,True,493.675,987.35,20.15,973.35,False,0,False,19.467,False,False,True,1,0
24.5,4,False,0,0,9,0.0,False,178.73999999999998,893.6999999999999,99.3,918.75,True,0,False,91.875,True,False,False,1,0
32.5,1,True,0,0,35,0.0,False,543.8125,2175.25,62.15,2215.45,False,0,False,61.540277777777774,False,False,False,1,0
29.0,0,True,0,0,48,0.0,True,495.6,991.2,20.65,1057.0,False,0,False,21.571428571428573,False,False,True,0,0
28.0,1,True,0,0,46,0.0,True,458.85,917.7,19.95,927.1,False,0,False,19.72553191489362,False,False,True,1,0
19.5,3,True,0,0,29,0.0,False,489.375,978.75,33.75,1009.25,False,0,False,33.641666666666666,False,False,False,0,0
30.0,3,True,0,0,30,0.0,False,615.375,2461.5,82.05,2570.2,True,0,False,82.90967741935484,False,False,False,0,0
10.5,5,False,0,0,1,0.0,False,24.900000000000002,74.7,74.7,74.7,True,0,True,37.35,True,False,False,0,0
63.0,1,True,0,0,66,0.0,True,792.0,5544.0,84.0,5714.25,False,0,False,85.28731343283582,False,True,False,1,0
62.5,4,False,0,0,65,0.0,False,1031.1785714285713,7218.25,111.05,7107.0,True,0,False,107.68181818181819,False,True,False,1,0
61.0,1,True,0,0,72,0.0,True,1210.8,7264.8,100.9,7459.05,True,0,False,102.17876712328767,False,True,False,1,0
16.0,6,False,0,0,12,0.0,False,315.8,947.4,78.95,927.35,True,0,True,71.33461538461539,False,False,False,1,1
55.5,1,True,0,0,71,0.0,False,949.2699999999999,4746.349999999999,66.85,4748.7,False,0,False,65.95416666666667,False,True,False,1,0
-2.5,3,False,0,0,5,0.8333333333333334,False,52.625,105.25,21.05,113.85,False,5,False,18.974999999999998,True,False,True,0,1
31.0,0,True,0,0,52,0.0,True,546.0,1092.0,21.0,1107.2,False,0,False,20.89056603773585,False,False,True,0,0
33.5,6,False,1,0,25,0.038461538461538464,False,410.4166666666667,2462.5,98.5,2514.5,True,2,True,96.71153846153847,False,False,False,1,1
5.5,3,True,0,0,1,0.0,False,10.1,20.2,20.2,20.2,False,0,False,10.1,True,False,True,0,0
5.5,5,False,0,0,1,0.0,False,9.725,19.45,19.45,19.45,False,0,True,9.725,True,False,True,0,0
39.0,0,True,0,0,38,0.0,False,722.0,3610.0,95.0,3605.6,True,0,False,92.45128205128205,False,False,False,0,0
48.0,0,True,0,0,66,0.0,False,751.575,3006.3,45.55,3027.25,False,0,False,45.18283582089552,False,True,False,0,0
40.0,1,False,6,1,68,0.08695652173913043,True,1068.5714285714287,7480.0,110.0,7611.85,True,12,False,110.31666666666668,False,True,False,1,1
2.5,3,True,0,0,5,0.0,False,121.5,121.5,24.3,100.2,False,0,False,16.7,True,False,False,0,0
61.0,3,True,0,0,72,0.0,False,1249.8,7498.8,104.15,7303.05,True,0,True,100.04178082191781,False,True,False,1,0
21.0,0,True,0,0,32,0.0,False,482.4,964.8,30.15,927.65,False,0,False,28.11060606060606,False,False,False,0,0
36.5,0,True,0,0,43,0.0,False,1014.2625,4057.05,94.35,3921.3,True,0,False,89.12045454545455,False,False,False,0,0
41.0,0,True,0,0,72,0.0,True,698.4,1396.8,19.4,1363.25,False,0,False,18.674657534246574,False,True,True,0,0
27.5,6,False,5,1,55,0.08928571428571429,False,1064.25,5321.25,96.75,5238.9,True,10,True,93.55178571428571,False,False,False,1,1
36.0,0,False,0,0,52,0.09433962264150944,False,602.6800000000001,3013.4,57.95,3042.25,False,5,False,57.40094339622642,False,False,False,0,0
41.5,6,False,0,0,43,0.0,False,788.1899999999999,3940.95,91.65,3954.1,True,0,True,89.86590909090908,False,False,False,1,0
23.5,6,False,0,0,37,0.0,False,1415.25,2830.5,76.5,2868.15,True,0,True,75.47763157894737,False,False,False,1,1
52.0,3,True,0,0,64,0.0,True,698.88,3494.4,54.6,3423.5,False,0,True,52.66923076923077,False,True,False,1,0
21.5,5,False,0,0,3,0.0,False,53.90999999999999,269.54999999999995,89.85,248.4,True,0,True,62.1,True,False,False,0,0
23.0,0,True,0,0,36,0.0,True,558.9,1117.8,31.05,1126.35,False,0,False,30.44189189189189,False,False,False,0,0
21.0,6,False,1,0,10,0.09090909090909091,False,200.5,1002.5,100.25,1064.65,True,2,True,96.78636363636365,True,False,False,1,1
25.5,0,True,0,0,41,0.0,True,423.325,846.65,20.65,835.15,False,0,False,19.88452380952381,False,False,True,0,0
20.5,4,False,2,0,27,0.07142857142857142,False,575.1,2300.4,85.2,2151.6,True,4,False,76.84285714285714,False,False,False,1,0
48.0,1,True,0,0,56,0.0,False,1117.76,5588.8,99.8,5515.45,True,0,False,96.76228070175438,False,False,False,1,0
8.0,3,True,0,0,6,0.0,False,62.1,124.2,20.7,112.75,False,0,False,16.107142857142858,True,False,True,0,0
6.5,6,False,0,0,3,0.0,False,111.6,223.2,74.4,229.55,True,0,True,57.3875,True,False,False,1,1
13.5,3,True,0,0,7,0.0,False,118.30000000000001,354.90000000000003,50.7,350.35,False,0,False,43.79375,True,False,False,0,0
7.0,3,True,0,0,4,0.0,False,41.7,83.4,20.85,62.9,False,0,False,12.58,True,False,True,0,0
36.5,3,True,0,0,33,0.0,True,587.0699999999999,2935.35,88.95,3027.65,True,0,True,89.0485294117647,False,False,False,1,0
23.5,6,False,0,0,27,0.0,False,702.4499999999999,2107.35,78.05,2135.5,True,0,True,76.26785714285714,False,False,False,1,1
41.0,1,True,0,0,72,0.0,True,847.8,1695.6,23.55,1723.95,False,0,False,23.615753424657534,False,True,True,1,0
5.5,3,True,0,0,1,0.0,False,9.875,19.75,19.75,19.75,False,0,False,9.875,True,False,True,0,0
55.5,3,True,0,0,71,0.0,False,801.5899999999999,4007.95,56.45,3985.35,False,0,True,55.35208333333333,False,True,False,1,0
16.5,6,False,0,0,13,0.0,False,372.45,1117.35,85.95,1215.65,True,0,True,86.83214285714287,False,False,False,1,0
33.5,4,False,1,0,25,0.038461538461538464,False,244.16666666666666,1465.0,58.6,1502.65,False,2,False,57.79423076923077,False,False,False,1,1
43.5,0,True,0,0,67,0.0,True,1128.95,3386.85,50.55,3260.1,False,0,False,47.942647058823525,False,True,False,0,0
5.5,6,False,0,0,1,0.0,False,17.725,35.45,35.45,35.45,False,0,True,17.725,True,False,False,1,1
6.0,5,False,0,0,2,0.0,False,44.35,88.7,44.35,81.25,False,0,True,27.083333333333332,True,False,False,0,1
26.5,1,True,0,0,43,0.0,True,552.55,1105.1,25.7,1188.2,False,0,False,27.004545454545454,False,False,True,1,0
13.5,4,False,0,0,23,0.16666666666666666,False,575.0,1725.0,75.0,1778.5,True,4,False,74.10416666666667,False,False,False,1,0
37.0,0,True,0,0,64,0.0,True,646.4,1292.8,20.2,1277.75,False,0,False,19.657692307692308,False,True,True,0,0
33.5,1,True,0,0,57,0.0,True,558.6,1117.2,19.6,1170.55,False,0,False,20.181896551724137,False,False,True,1,0
5.5,4,False,0,0,1,0.0,False,35.225,70.45,70.45,70.45,True,0,False,35.225,True,False,False,1,1
71.0,1,True,0,0,72,0.0,True,792.4499999999999,6339.599999999999,88.05,6425.65,False,0,False,88.02260273972603,False,True,False,1,0
24.0,5,False,0,0,8,0.0,False,113.84,569.2,71.15,563.65,False,0,True,62.62777777777777,True,False,False,0,1
50.5,1,True,0,0,61,0.0,True,1232.81,6164.05,101.05,5971.25,True,0,False,96.31048387096774,False,True,False,1,0
47.0,1,True,0,0,64,0.0,False,1348.8,5395.2,84.3,5289.05,True,0,False,81.37,False,True,False,1,0
40.5,0,True,0,0,71,0.0,True,850.225,1700.45,23.95,1756.2,False,0,False,24.391666666666666,False,True,True,0,0
57.5,1,True,0,0,65,0.0,True,1073.0416666666667,6438.25,99.05,6416.7,True,0,False,97.22272727272727,False,True,False,1,0
6.5,0,True,0,0,3,0.0,False,29.4,58.8,19.6,61.35,False,0,False,15.3375,True,False,True,0,0
5.5,6,False,0,0,1,0.0,False,22.825,45.65,45.65,45.65,False,0,True,22.825,True,False,False,1,1
35.0,0,True,0,0,30,0.0,False,387.0,1935.0,64.5,1929.95,False,0,False,62.25645161290323,False,False,False,0,0
32.5,4,False,0,0,15,0.0,False,173.75,1042.5,69.5,1071.4,False,0,False,66.9625,False,False,False,1,0
16.0,6,False,0,0,8,0.4444444444444444,False,109.67999999999999,548.4,68.55,564.35,False,4,True,62.705555555555556,True,False,False,1,0
14.5,3,False,0,0,7,0.25,False,166.25,665.0,95.0,655.5,True,2,False,81.9375,True,False,False,0,1
65.0,1,True,0,0,70,0.0,False,1081.5,7570.5,108.15,7930.55,True,0,False,111.69788732394366,False,True,False,1,0
64.0,2,True,0,0,62,0.015873015873015872,True,667.275,5338.2,86.1,5215.25,False,1,True,82.78174603174604,False,True,False,0,0
8.0,3,True,0,0,6,0.0,False,59.1,118.2,19.7,113.5,False,0,False,16.214285714285715,True,False,True,0,0
17.0,4,False,0,0,14,0.0,False,377.5333333333333,1132.6,80.9,1152.8,True,0,False,76.85333333333332,False,False,False,1,0
21.0,4,False,0,0,22,0.0,False,617.1,1851.3,84.15,1821.95,True,0,False,79.21521739130435,False,False,False,1,0
16.0,0,True,0,0,22,0.0,False,221.65,443.3,20.15,419.9,False,0,False,18.256521739130434,False,False,True,0,0
28.0,0,True,0,0,16,0.0,True,205.6,1028.0,64.25,1024.0,False,0,False,60.23529411764706,False,False,False,0,0
10.0,0,True,0,0,10,0.0,True,128.5,257.0,25.7,251.6,False,0,False,22.87272727272727,True,False,True,0,0
21.5,6,False,0,0,13,0.0,False,182.0,728.0,56.0,764.55,False,0,True,54.61071428571428,False,False,False,1,0
20.0,5,False,0,0,20,0.0,False,549.3333333333334,1648.0,82.4,1592.35,True,0,True,75.82619047619048,False,False,False,0,1
6.0,6,False,0,0,2,0.0,False,69.7,139.4,69.7,135.2,True,0,True,45.06666666666666,True,False,False,1,0
47.5,1,True,1,0,53,0.018518518518518517,True,652.7833333333333,3916.7,73.9,3958.25,False,2,False,73.30092592592592,False,False,False,1,0
6.5,0,True,0,0,11,0.16666666666666666,False,113.3,226.6,20.6,233.9,False,2,False,19.491666666666667,True,False,True,0,0
39.5,0,True,0,0,69,0.0,True,686.55,1373.1,19.9,1363.45,False,0,False,19.477857142857143,False,True,True,0,0
3.0,4,False,0,0,4,0.4,False,141.8,283.6,70.9,273.0,True,2,False,54.6,True,False,False,1,1
63.0,1,False,0,0,72,0.0547945205479452,True,801.4499999999999,6411.599999999999,89.05,6254.45,False,4,False,85.67739726027396,False,True,False,1,0
24.0,6,False,5,0,58,0.0847457627118644,False,656.85,2627.4,45.3,2651.2,False,10,True,44.93559322033898,False,False,False,1,1
13.0,5,False,0,0,16,0.0,False,163.2,326.4,20.4,321.4,False,0,True,18.905882352941177,False,False,True,0,0
41.5,1,True,0,0,43,0.0,False,724.55,3622.75,84.25,3539.25,True,0,False,80.4375,False,False,False,1,0
22.0,6,False,0,0,2,0.6666666666666666,False,34.800000000000004,208.8,104.4,242.8,True,2,True,80.93333333333334,True,False,False,1,1
37.0,0,True,0,0,14,0.0,True,163.9,1147.3,81.95,1181.75,False,0,False,78.78333333333333,False,False,False,0,0
26.5,1,False,5,1,53,0.09259259259259259,False,1005.4099999999999,5027.049999999999,94.85,5000.2,True,10,False,92.59629629629629,False,False,False,1,1
21.0,0,True,0,0,32,0.0,False,328.8,657.6,20.55,654.55,False,0,False,19.834848484848482,False,False,True,0,0
22.0,5,False,0,0,34,0.0,False,419.9,839.8,24.7,780.2,False,0,True,22.291428571428572,False,False,True,0,0
6.5,4,False,0,0,15,0.1875,False,558.375,1116.75,74.45,1145.7,True,3,False,71.60625,False,False,False,1,1
13.5,3,True,0,0,7,0.0,False,178.38333333333333,535.15,76.45,503.6,True,0,False,62.95,True,False,False,0,1
32.5,4,False,0,0,15,0.0,False,263.375,1580.25,105.35,1559.25,True,0,False,97.453125,False,False,False,1,0
35.5,1,True,0,0,61,0.0,False,626.775,1253.55,20.55,1252.0,False,0,False,20.193548387096776,False,True,True,1,0
5.5,3,True,0,0,1,0.0,False,14.975,29.95,29.95,29.95,False,0,False,14.975,True,False,False,0,1
5.5,3,True,0,0,1,0.0,False,22.65,45.3,45.3,45.3,False,0,False,22.65,True,False,False,0,0
14.0,3,True,0,0,8,0.0,False,225.33333333333334,676.0,84.5,662.65,True,0,False,73.62777777777778,True,False,False,0,1
41.5,0,True,0,0,33,0.0,False,411.125,2466.75,74.75,2453.3,False,0,False,72.15588235294118,False,False,False,0,0
13.5,6,False,1,0,13,0.21428571428571427,False,257.5625,1030.25,79.25,1111.65,True,4,True,79.40357142857144,False,False,False,1,1
-7.5,6,False,0,0,1,2.0,False,24.8,24.8,24.8,24.8,False,4,True,12.4,True,False,False,1,1
20.0,4,False,0,0,20,0.0,False,345.3333333333333,1036.0,51.8,1023.85,False,0,False,48.75476190476191,False,False,False,1,0
6.5,5,False,0,0,3,0.0,False,45.6,91.2,30.4,82.15,False,0,True,20.5375,True,False,False,0,0
11.5,2,True,0,0,13,0.0,False,127.725,255.45,19.65,244.8,False,0,True,17.485714285714288,False,False,True,0,0
30.0,3,True,0,0,40,0.0,False,754.6666666666666,2264.0,56.6,2379.1,False,0,False,58.02682926829268,False,False,False,0,0
