customerID,InternetService,PhoneService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,service_adoption_score
7590-VHVEG,DSL,0,0,1,0,0,0,0,1
5575-GNVDE,DSL,1,1,0,1,0,0,0,3
3668-QPYBK,DSL,1,1,1,0,0,0,0,3
7795-CFOCW,DSL,0,1,0,1,1,0,0,3
9237-HQITU,Fiber optic,1,0,0,0,0,0,0,1
9305-CDSKC,Fiber optic,1,0,0,1,0,1,1,4
1452-KIOVK,Fiber optic,1,0,1,0,0,1,0,3
6713-OKOMC,DSL,0,1,0,0,0,0,0,1
7892-POOKP,Fiber optic,1,0,0,1,1,1,1,5
6388-TABGU,DSL,1,1,1,0,0,0,0,3
9763-GRSKD,DSL,1,1,0,0,0,0,0,2
7469-LKBCI,No,1,0,0,0,0,0,0,1
8091-TTVAX,Fiber optic,1,0,0,1,0,1,1,4
0280-XJGEX,Fiber optic,1,0,1,1,0,1,1,5
5129-JLPIS,Fiber optic,1,1,0,1,1,1,1,6
3655-SNQYZ,Fiber optic,1,1,1,1,1,1,1,7
8191-XWSZG,No,1,0,0,0,0,0,0,1
9959-WOFKT,Fiber optic,1,1,0,1,0,1,1,5
4190-MFLUW,DSL,1,0,0,1,1,0,0,3
4183-MYFRB,Fiber optic,1,0,1,1,0,0,1,4
8779-QRDMV,DSL,0,0,0,1,0,0,1,2
1680-VDCWW,No,1,0,0,0,0,0,0,1
1066-JKSGK,No,1,0,0,0,0,0,0,1
3638-WEABW,DSL,1,0,1,0,1,0,0,3
6322-HRPFA,DSL,1,1,1,0,1,0,0,4
6865-JZNKO,DSL,1,1,1,0,0,0,0,3
6467-CHFZW,Fiber optic,1,0,1,0,0,1,1,4
8665-UTDHZ,DSL,0,0,1,0,0,0,0,1
5248-YGIJN,DSL,1,1,1,1,1,1,1,7
8773-HHUOZ,DSL,1,0,0,0,0,1,1,3
3841-NFECX,Fiber optic,1,1,1,1,1,0,0,5
4929-XIHVW,Fiber optic,1,0,0,1,0,1,1,4
6827-IEAUQ,DSL,1,1,1,1,1,0,0,5
7310-EGVHZ,No,1,0,0,0,0,0,0,1
3413-BMNZE,DSL,1,0,0,0,0,0,0,1
6234-RAAPL,Fiber optic,1,1,1,0,1,1,0,5
6047-YHPVI,Fiber optic,1,0,0,0,0,0,0,1
6572-ADKRS,Fiber optic,1,0,0,1,0,0,0,2
5380-WJKOV,Fiber optic,1,0,1,1,0,1,1,5
8168-UQWWF,Fiber optic,1,0,0,1,0,1,1,4
8865-TNMNX,DSL,1,0,1,0,0,0,0,2
9489-DEDVP,DSL,1,1,1,0,0,1,0,4
9867-JCZSP,No,1,0,0,0,0,0,0,1
4671-VJLCL,DSL,1,1,1,1,1,1,0,6
4080-IIARD,DSL,1,1,1,0,1,1,0,5
3714-NTNFO,Fiber optic,1,0,0,0,0,0,1,2
5948-UJZLF,DSL,1,0,1,0,0,0,0,2
7760-OYPDY,Fiber optic,1,0,0,0,0,1,0,2
7639-LIAYI,DSL,1,1,0,0,1,1,1,5
2954-PIBKO,DSL,1,1,0,1,1,0,0,4
8012-SOUDQ,Fiber optic,1,0,1,0,0,1,0,3
9420-LOJKX,Fiber optic,1,1,1,0,0,1,1,5
6575-SUVOI,DSL,1,1,0,0,1,1,0,4
7495-OOKFY,Fiber optic,1,0,1,0,0,0,0,2
4667-QONEA,DSL,1,1,1,1,1,0,1,6
1658-BYGOY,Fiber optic,1,0,0,0,0,1,1,3
8769-KKTPH,Fiber optic,1,1,0,0,0,1,1,4
5067-XJQFU,Fiber optic,1,0,1,1,1,1,1,6
3957-SQXML,No,1,0,0,0,0,0,0,1
5954-BDFSG,Fiber optic,1,0,0,1,1,1,1,5
0434-CSFON,Fiber optic,1,0,0,1,0,1,1,4
1215-FIGMP,Fiber optic,1,0,1,0,0,1,0,3
0526-SXDJP,DSL,0,1,1,1,0,0,0,3
0557-ASKVU,DSL,1,0,0,1,1,0,0,3
5698-BQJOH,Fiber optic,1,0,0,0,0,1,1,3
5122-CYFXA,DSL,1,0,1,0,1,1,1,5
8627-ZYGSZ,Fiber optic,1,0,1,0,0,0,0,2
3410-YOQBQ,DSL,1,0,1,1,1,1,1,6
3170-NMYVV,No,1,0,0,0,0,0,0,1
7410-OIEDU,Fiber optic,1,1,0,1,0,0,0,3
2273-QCKXA,DSL,1,0,0,0,1,0,0,2
0731-EBJQB,No,1,0,0,0,0,0,0,1
1891-QRQSA,Fiber optic,1,1,0,1,1,1,1,6
8028-PNXHQ,No,1,0,0,0,0,0,0,1
5630-AHZIL,DSL,1,1,0,0,1,0,1,4
2673-CXQEU,Fiber optic,1,1,1,1,0,1,1,6
6416-JNVRK,DSL,1,0,0,0,0,0,1,2
5590-ZSKRV,DSL,1,1,1,0,0,0,0,3
0191-ZHSKZ,DSL,1,1,1,0,0,1,1,5
3887-PBQAO,No,1,0,0,0,0,0,0,1
5919-TMRGD,Fiber optic,1,0,0,0,0,1,0,2
8108-UXRQN,DSL,0,1,0,0,0,1,1,3
9191-MYQKX,Fiber optic,1,0,0,1,0,0,0,2
9919-YLNNG,Fiber optic,1,0,1,1,1,1,1,6
0318-ZOPWS,No,1,0,0,0,0,0,0,1
4445-ZJNMU,Fiber optic,1,0,1,0,0,1,1,4
4808-YNLEU,DSL,1,1,0,0,0,1,0,3
1862-QRWPE,No,1,0,0,0,0,0,0,1
2796-NNUFI,No,1,0,0,0,0,0,0,1
3016-KSVCP,DSL,0,0,0,0,0,1,0,1
4767-HZZHQ,Fiber optic,1,0,1,1,0,0,0,3
2424-WVHPL,Fiber optic,1,0,0,0,1,0,0,2
