customerID,Contract,MonthlyCharges,TotalCharges,PaymentMethod,PaperlessBilling,billing_risk_score,Churn,churn_risk_segment
7590-VHVEG,Month-to-month,29.85,29.85,Electronic check,Yes,6,No,Medium Risk
5575-GNVDE,One year,56.95,1889.5,Mailed check,No,0,No,Low Risk
3668-QPYBK,Month-to-month,53.85,108.15,Mailed check,Yes,4,Yes,Medium Risk
7795-CFOCW,One year,42.3,1840.75,Bank transfer (automatic),No,0,No,Medium Risk
9237-HQITU,Month-to-month,70.7,151.65,Electronic check,Yes,6,Yes,Medium Risk
9305-CDSKC,Month-to-month,99.65,820.5,Electronic check,Yes,6,Yes,Medium Risk
1452-KIOVK,Month-to-month,89.1,1949.4,Credit card (automatic),Yes,4,No,Medium Risk
6713-OKOMC,Month-to-month,29.75,301.9,Mailed check,No,3,No,Low Risk
7892-POOKP,Month-to-month,104.8,3046.05,Electronic check,Yes,6,Yes,High Risk
6388-TABGU,One year,56.15,3487.95,Bank transfer (automatic),No,0,No,Low Risk
9763-GRSKD,Month-to-month,49.95,587.45,Mailed check,Yes,4,No,Medium Risk
7469-LKBCI,Two year,18.95,326.8,Credit card (automatic),No,0,No,Low Risk
8091-TTVAX,One year,100.35,5681.1,Credit card (automatic),No,0,No,Low Risk
0280-XJGEX,Month-to-month,103.7,5036.3,Bank transfer (automatic),Yes,4,Yes,High Risk
5129-JLPIS,Month-to-month,105.5,2686.05,Electronic check,Yes,6,No,Medium Risk
3655-SNQYZ,Two year,113.25,7895.15,Credit card (automatic),No,0,No,Low Risk
8191-XWSZG,One year,20.65,1022.95,Mailed check,No,0,No,Low Risk
9959-WOFKT,Two year,106.7,7382.25,Bank transfer (automatic),No,0,No,High Risk
4190-MFLUW,Month-to-month,55.2,528.35,Credit card (automatic),No,3,Yes,Low Risk
4183-MYFRB,Month-to-month,90.05,1862.9,Electronic check,Yes,6,No,Medium Risk
8779-QRDMV,Month-to-month,39.65,39.65,Electronic check,Yes,6,Yes,Medium Risk
1680-VDCWW,One year,19.8,202.25,Bank transfer (automatic),No,0,No,Low Risk
1066-JKSGK,Month-to-month,20.15,20.15,Mailed check,No,3,Yes,High Risk
3638-WEABW,Two year,59.9,3505.1,Credit card (automatic),Yes,1,No,Low Risk
6322-HRPFA,Month-to-month,59.6,2970.3,Credit card (automatic),No,3,No,High Risk
6865-JZNKO,Month-to-month,55.3,1530.6,Bank transfer (automatic),Yes,4,No,Medium Risk
6467-CHFZW,Month-to-month,99.35,4749.15,Electronic check,Yes,6,Yes,High Risk
8665-UTDHZ,Month-to-month,30.2,30.2,Electronic check,No,5,Yes,Medium Risk
5248-YGIJN,Two year,90.25,6369.45,Credit card (automatic),Yes,1,No,Low Risk
8773-HHUOZ,Month-to-month,64.7,1093.1,Mailed check,Yes,4,Yes,Medium Risk
3841-NFECX,Two year,96.35,6766.95,Credit card (automatic),Yes,1,No,Low Risk
4929-XIHVW,Month-to-month,95.5,181.65,Credit card (automatic),Yes,4,No,Medium Risk
6827-IEAUQ,One year,66.15,1874.45,Mailed check,No,0,No,Low Risk
7310-EGVHZ,Month-to-month,20.2,20.2,Bank transfer (automatic),No,3,No,Low Risk
3413-BMNZE,Month-to-month,45.25,45.25,Bank transfer (automatic),No,3,No,Low Risk
6234-RAAPL,Two year,99.9,7251.7,Bank transfer (automatic),No,0,No,Low Risk
6047-YHPVI,Month-to-month,69.7,316.9,Electronic check,Yes,6,Yes,Medium Risk
6572-ADKRS,Month-to-month,74.8,3548.3,Credit card (automatic),Yes,4,No,High Risk
5380-WJKOV,Month-to-month,106.35,3549.25,Electronic check,Yes,6,Yes,High Risk
8168-UQWWF,Month-to-month,97.85,1105.4,Bank transfer (automatic),Yes,4,Yes,High Risk
8865-TNMNX,One year,49.55,475.7,Mailed check,No,0,No,Medium Risk
