customerID,numAdminTickets,numTechTickets,support_frustration_score,high_value_churn_flag
7590-VHVEG,0,0,0,0
5575-GNVDE,0,0,0,0
3668-QPYBK,0,0,0,0
7795-CFOCW,0,3,6,0
9237-HQITU,0,0,0,0
9305-CDSKC,0,0,0,0
1452-KIOVK,0,0,0,0
6713-OKOMC,0,0,0,0
7892-POOKP,0,2,4,0
6388-TABGU,0,0,0,0
9763-GRSKD,1,0,1,0
7469-LKBCI,0,0,0,0
8091-TTVAX,0,0,0,0
0280-XJGEX,5,4,13,1
5129-JLPIS,0,0,0,0
3655-SNQYZ,0,0,0,0
8191-XWSZG,0,0,0,0
9959-WOFKT,0,4,8,0
4190-MFLUW,0,0,0,0
4183-MYFRB,0,0,0,0
8779-QRDMV,0,0,0,0
1680-VDCWW,2,0,2,0
1066-JKSGK,4,0,4,0
3638-WEABW,1,0,1,0
6322-HRPFA,0,3,6,0
6865-JZNKO,0,0,0,0
6467-CHFZW,0,4,8,1
8665-UTDHZ,0,0,0,0
5248-YGIJN,1,0,1,0
8773-HHUOZ,0,0,0,0
3841-NFECX,0,0,0,0
4929-XIHVW,0,0,0,0
6827-IEAUQ,0,0,0,0
7310-EGVHZ,0,0,0,0
3413-BMNZE,0,0,0,0
6234-RAAPL,0,0,0,0
6047-YHPVI,0,0,0,0
6572-ADKRS,3,0,3,0
5380-WJKOV,0,4,8,1
8168-UQWWF,0,2,4,0
8865-TNMNX,5,0,5,0
9489-DEDVP,0,0,0,0
9867-JCZSP,0,0,0,0
4671-VJLCL,0,0,0,0
4080-IIARD,4,0,4,0
3714-NTNFO,0,3,6,0
5948-UJZLF,0,0,0,0
7760-OYPDY,0,0,0,0
7639-LIAYI,1,0,1,0
2954-PIBKO,0,0,0,0
8012-SOUDQ,0,0,0,0
9420-LOJKX,0,1,2,0
6575-SUVOI,4,0,4,0
7495-OOKFY,0,0,0,0
4667-QONEA,0,0,0,0
1658-BYGOY,0,1,2,0
8769-KKTPH,0,0,0,0
5067-XJQFU,3,0,3,0
3957-SQXML,0,0,0,0
5954-BDFSG,0,0,0,0
0434-CSFON,0,0,0,0
1215-FIGMP,0,0,0,0
0526-SXDJP,0,0,0,0
0557-ASKVU,0,0,0,0
5698-BQJOH,0,0,0,0
5122-CYFXA,0,0,0,0
8627-ZYGSZ,0,3,6,0
3410-YOQBQ,3,0,3,0
3170-NMYVV,0,0,0,0
7410-OIEDU,0,0,0,0
2273-QCKXA,0,0,0,0
0731-EBJQB,0,0,0,0
1891-QRQSA,0,0,0,0
8028-PNXHQ,0,0,0,0
5630-AHZIL,0,0,0,0
2673-CXQEU,0,0,0,0
6416-JNVRK,1,0,1,0
5590-ZSKRV,0,0,0,0
0191-ZHSKZ,0,0,0,0
3887-PBQAO,0,0,0,0
5919-TMRGD,2,0,2,0
8108-UXRQN,0,0,0,0
9191-MYQKX,5,0,5,0
9919-YLNNG,0,0,0,0
0318-ZOPWS,0,0,0,0
4445-ZJNMU,0,0,0,0
4808-YNLEU,0,0,0,0
1862-QRWPE,0,0,0,0
2796-NNUFI,0,0,0,0
3016-KSVCP,0,0,0,0
4767-HZZHQ,0,0,0,0
2424-WVHPL,0,0,0,0
7233-PAHHL,0,0,0,0
6067-NGCEU,0,0,0,0
9848-JQJTX,0,0,0,0
8637-XJIVR,0,0,0,0
9803-FTJCG,0,0,0,0
0278-YXOOG,5,0,5,0
3212-KXOCR,0,0,0,0
4598-XLKNJ,0,1,2,0
6380-ARCEH,0,0,0,0
3679-XASPY,0,0,0,0
7123-WQUHX,0,0,0,0
5386-THSLQ,0,0,0,0
3192-NQECA,0,6,12,1
6180-YBIQI,0,0,0,0
6728-DKUCO,0,0,0,0
9750-BOOHV,0,0,0,0
8597-CWYHH,0,0,0,0
2848-YXSMW,0,0,0,0
0486-HECZI,0,5,10,1
4549-ZDQYY,5,0,5,0
5712-AHQNN,0,0,0,0
4846-WHAFZ,0,0,0,0
5256-SKJGO,0,0,0,0
3071-VBYPO,0,0,0,0
9560-BBZXK,0,0,0,0
5299-RULOA,0,1,2,0
8402-OOOHJ,0,0,0,0
9445-ZUEQE,0,2,4,0
1091-SOZGA,0,0,0,0
2928-HLDBA,0,0,0,0
0404-SWRVG,0,0,0,0
6497-TILVL,0,0,0,0
7219-TLZHO,0,0,0,0
4622-YNKIJ,0,0,0,0
4412-YLTKF,0,0,0,0
6734-PSBAW,0,0,0,0
3930-ZGWVE,0,0,0,0
2639-UGMAZ,0,0,0,0
2876-GZYZC,0,0,0,0
6207-WIOLX,0,1,2,0
8587-XYZSF,0,0,0,0
3091-FYHKI,0,0,0,0
2372-HWUHI,0,0,0,0
7799-LGRDP,0,0,0,0
7850-VWJUU,4,0,4,0
3774-VBNXY,0,0,0,0
6217-KDYWC,0,0,0,0
0390-DCFDQ,0,0,0,0
3146-MSEGF,0,0,0,0
4080-OGPJL,0,0,0,0
1095-WGNGG,0,0,0,0
2636-SJDOU,0,0,0,0
1131-QQZEB,0,0,0,0
5716-EZXZN,0,0,0,0
6837-BJYDQ,0,0,0,0
2135-RXIHG,0,0,0,0
6440-DKQGE,0,0,0,0
3466-BYAVD,0,0,0,0
3780-YVMFA,4,0,4,0
3874-EQOEP,2,0,2,0
1679-JRFBR,0,0,0,0
9073-ZZIAY,1,0,1,0
3077-RSNTJ,0,0,0,0
6551-GNYDG,0,0,0,0
9167-APMXZ,0,0,0,0
2749-CTKAJ,0,0,0,0
6371-NZYEG,0,0,0,0
7554-NEWDD,0,0,0,0
8992-VONJD,0,0,0,0
0867-MKZVY,0,0,0,0
4482-EWFMI,0,0,0,0
4648-YPBTM,0,1,2,0
2907-ILJBN,2,0,2,0
6345-FZOQH,0,0,0,0
3376-BMGFE,2,0,2,0
5997-OPVFA,4,0,4,0
3445-HXXGF,0,5,10,0
1159-WFSGR,0,0,0,0
7654-YWJUF,0,0,0,0
1875-QIVME,2,0,2,0
6727-IOTLZ,0,0,0,0
0691-JVSYA,0,5,10,1
5918-VUKWP,0,0,0,0
1744-JHKYS,0,0,0,0
2656-FMOKZ,3,0,3,0
2070-FNEXE,0,0,0,0
5947-SGKCL,0,0,0,0
3712-PKXZA,0,0,0,0
6317-YPKDH,0,0,0,0
6582-OIVSP,0,0,0,0
9367-WXLCH,0,0,0,0
5524-KHNJP,0,0,0,0
1918-ZBFQJ,2,1,4,0
1024-GUALD,4,0,4,0
4827-USJHP,0,0,0,0
8167-GJLRN,0,0,0,0
0956-SYCWG,0,0,0,0
8017-UVSZU,0,0,0,0
7100-FQPRV,0,0,0,0
2472-OVKUP,0,0,0,0
2984-RGEYA,0,0,0,0
9680-NIAUV,0,0,0,0
2146-EGVDT,0,0,0,0
2604-IJPDU,0,0,0,0
9178-JHUVJ,0,0,0,0
6168-YBYNP,0,0,0,0
7255-SSFBC,0,0,0,0
3645-DEYGF,0,0,0,0
9323-HGFWY,0,0,0,0
8544-GOQSH,0,0,0,0
3363-DTIVD,0,0,0,0
7018-WBJNK,0,0,0,0
9142-KZXOP,0,0,0,0
7674-YTAFD,5,0,5,0
6348-SNFUS,0,0,0,0
1285-OKIPP,0,0,0,0
7825-ECJRF,0,1,2,0
1347-KTTTA,0,0,0,0
7841-TZDMQ,0,0,0,0
4195-NZGTA,5,0,5,0
7157-SMCFK,0,0,0,0
4709-LKHYG,0,0,0,0
2504-DSHIH,4,0,4,0
0699-NDKJM,0,1,2,0
9286-BHDQG,0,0,0,0
0230-WEQUW,0,0,0,0
